abbrev,common name,science name,mean_length_female_cm,mean_length_male_cm,mean_mass_female_kg,mean_mass_male_kg,source
gg,Risso's dolphin,Grampus griseus,294,316,338,470,Block et al. 2012
sw,Sperm whale,Physeter macrocephalus,1100,1475,15286,32850, Lockyer et al. 1976
hp,Harbour porpoise,Phocoena phocoena,137,128,39,36.9,Lockyer and Kinze 2003
zc,Cuvier's beaked whale,Ziphius cavirostris,660,693,886,771,
bb,Baird's beaked whale,Berardius bairdii,1200,1140,3794,2479,
md,Bleinville's beaked whale,Mesoplodon densirostris,471,580,390,508,
tt,Bottlenose dolphin,Tursiops truncatus,367,381,172,203,
bw,Blue whale,Balaenoptera musculus,3358,3190,110126,95347,
bp,Fin whale,Balaenoptera physalus,2700,2500,59819,51361,
mn,Humpback whale,Megaptera novaeangliae,1860,1768,32493,28323,
ba,Minke whale,Balaenoptera acutorostrata,1070,980,7011,6121,
gm,Long-finned pilot whale,Globicephala melas,570,762,672,1029,
