abbrev,common name,science name
hp,Harbour porpoise,Phocoena phocoena
gg,Risso's dolphin,Grampus griseus
zc,Cuvier's beaked whale,Ziphius cavirostris
sw,Sperm whale,Physeter macrocephalus
bd,Baird's beaked whale,Berardius bairdii
md,Bleinville's beaked whale,Mesoplodon densirostris
tt,Bottlenose dolphin,Tursiops truncatus
bw,Blue whale,Balaenoptera musculus
bp,Fin whale,Balaenoptera physalus
mn,Humpback whale,Megaptera novaeangliae
ba,Minke whale,Balaenoptera acutorostrata
oo,Killer whale,Orcinus orca
er,Gray whale,Eschrichtius robustus
bb,Antarctic Minke whale,Balaenoptera bonaerensis
be,Bryde's whale,Balaenoptera edeni
eg,Right Whale,Eubalaena glacialis
bm,Bowhead whale,Balaena mysticetus
bs,Sei whale,Balaenoptera borealis
